,Title of Review,Review Description,Date of Review,No. of stars
190,CherieL233 1 review Pending review Balance of gift card being used up and counted as tips without any consent,"Restaurant: Manchester Trafford CentreDate and time of visiting: 23/3 18:00-19:42No. of pax: 3 We settled the £32.20 bill by 2 gift cards worth £35 (£20 and £15 respectively), it was supposed to have an amount of £2.8 balance left in the gift card - which is just a primary level subtraction.After having settled the bill we asked to have our print-at-home gift cards back but were repeatedly told by the waiter ""No balance left and it's in the bin"". Manager came through and the discussion lasted for a while but we found there wasn't any way to reach the point of understanding - unfortunately even more confusing.We were full of doubts: 1. Waiter kept saying there wasn't any balance left in the gift card          - Did it mean there was £0 balance left in the gift cards? But the bill was just £32.202. Manager telling us they can't give back the balance           - Was she presuming we requesting a new issue of gift card with an updated balance? Of course we not, we do know any gift card balance will be updated automatically and it is unnecessary to issue a new one after each time of consumption3. They insisted not to give back the printout gift cards to us because ""those were in the bin""           - Although the balance can be checked online without having a physical gift card in hand, we don't think it's appropriate to throw away a cash equivalent gift card with unspent value which can be used by anyone          - We can't understand the insistency of refusing to return something belongs to us, even though something might be considered as wasteWe gave up to discuss any more and just asked to get back the threw-away gift cards as well as the receipt of the meal.Later the night, we checked the balance of the gift cards online and found the total value of £35 in the gift cards was used up (That's why the gift cards became waste of the bin) and found the difference of £2.8 was counted as tips which was listed in the bill.It's meaningless to discuss if their service worth this £2.8 tips, it is completely an unauthorised transaction - no one has ever made us aware of this transaction even though there had been a prolonged conversation about the bill and the gift cards.Please Zizzi can you give a response to these?1. Is this a tradition of your restaurant to use up customer's gift card value and count the balance as tips without customers' consent? (Fortunately we haven't bought a £100 worth gift card)2. Is this also a tradition of your restaurant to throw away customers' gift card and refuse to return upon customers' request? (Fortunately we didn't give them the electronic format gift card by an iPhone or I had to pick it up from the bin)","Apr 2, 2023",Rated 1 out of 5 stars
191,This is awful pizza,This is awful pizza. Speaking as an Italian and a new Yorker,"May 1, 2023",Rated 1 out of 5 stars
192,Zizzi birstall Leeds shocking will take…,Zizzi birstall Leeds shocking will take days to get over this horrible experience we where given table water in a jug which contained a wet table wipe swimming in the bottom disgusting and gross 🤢  and the food service was rubbish will never ever visit zizzis again I feel sick writing this just thinking about drinking that dirty water 🤢,"Updated Sep 11, 2022",Rated 1 out of 5 stars
193,Food was average and service was not…,Food was average and service was not great. Get what you pay for,"Nov 8, 2022",Rated 3 out of 5 stars
194,Awesome,Awesome! Great food! Excellent service!,"Aug 30, 2023",Rated 5 out of 5 stars
195,Ordered through Just Eat as given a…,Ordered through Just Eat as given a voucher. Never usually touch take out but thought Zizzi is fairly reputable and we've been years ago to the restaurant in town. 2 weeks of all of us having food poisoning. Never felt so ill in my life. Pizzas were average and seemed less than piping hot so may have been that. I won't be trying again but then again we don't use take out anyway.,"Jul 28, 2022",Rated 1 out of 5 stars
196,Food is very basic and they treat their…,Food is very basic and they treat their staff like dirt,"Jun 20, 2023",Rated 1 out of 5 stars
197,Worst dinner I’ve ever paid for,If you want a good dinner Stay clear of zizi I took my partner there at Bradford one I ordered carbonara my partner ordered mushroom spinach thing lol mine was very very salty and stuck together like it was microwaved pick up in fork in 1 go absolutely disgusting then my partners was like a plate of slime then they brought our garlic bread after dinner was finnished asked them 3 times was told we have a problem in kitchen so we ate our garlic bread with our desert then they had a nerve to ask for a tip On top of that I complained to them and got an email back from there senior operation manager said sorry but there all new and we’re training them lol they don’t tell there customers that and still charge £16 for that carbonara he then offered me £30 voucher and when I refused because I said I spent £68 on the meal which means with that voucher I’d spend another £40 I wasn’t willing to go back there and put more money in there till There lucky I paid at all I then told them about a really good experience I had at there rival company whilst in Edinburgh at gustos and they were cheaper it was absolutely amazing they didn’t like me mentioning that even though I was trying to help them by letting them know how good it was there for less money they should take constructive criticism ignored me after so I’m now reviewing everywhere I can do Hopefully no one else gets stung like that,"Updated Mar 27, 2023",Rated 1 out of 5 stars
198,Exceptional service,"Exceptional service, lovely food and excellent value.","Dec 1, 2022",Rated 5 out of 5 stars
199,expensive,"expensive , low quality. better pizza express","Jul 26, 2022",Rated 2 out of 5 stars
200,We had planned our night away including…,"We had planned our night away including a nice meal at zizzi in Manchester centre. We got there for 5.15 there was 3 tables eating in the whole place and the girl had been told not to take any further bookings until 6pm. There was only 2 of us, with 6 people in the whole place eating. Have to say, the place was scruffy walking in and tables not cleared, and then they couldn’t even take any further bookings. What is going on, this is the centre of Manchester. With all the competition of other restaurants going on….. get it sorted Zizzi.","Jul 5, 2022",Rated 1 out of 5 stars
201,BEST PIZZA,"Wonderful service! Friendly waitrons, Pizzas of the best quality and enough for all ages, have been going for roughly two year now, and have never been disappointed.","Jul 1, 2022",Rated 5 out of 5 stars
202,Don’t expect much of the lasagna!!,Starter (bruschetta) was ok but main course - lasagna was not only very dry and glutinous but quite tasteless.  This was at Zizzi Port Solent.  Staff did replace one meal and were quite helpful but food for us was poor.  One of us had salmon and that was ok.,"Jul 1, 2022",Rated 2 out of 5 stars
203,Five stars for Brentwood Zizzis,A delicious meal at the Brentwood Zizzis. Staff were attentive and lovely and an excellent experience regarding supporting dietary requirements. Fab! Thank you!,"Jun 29, 2022",Rated 5 out of 5 stars
204,The food was nice but the amount that…,The food was nice but the amount that we got for the price was absolutely disgusting I will never ever go in there again,"Jun 26, 2022",
205,My mum got food poisoning,"We ate here for my hen do. My mum got food poisoning so bad that she had to have a scan on her stomach today! She was the only one in our party that got it but someone witnessed the person preparing the food make her cocktail, squeezing fruit without washing his hands! Unfortunately they didn't think to say at the time.  I know this is how she got food poisoning. I complained to zizzis they come back with a nice email asking more questions! I thought what a great company. I now realise it was just to find out what she had eaten 48 hours prior so they could blame it on that instead. Classic fob off!! oh and a £30 voucher to eat in their restaurant, because that's what you want after food poisoning!  The table here was for my hen do and my sister called the day before to confirm and they tried to cancel the table as they didn't have enough staff! I get that understaffing is an issue but why did it take my sister calling. why did they not call us? I don't blame the staff as they were very busy I blame the management!!","Jun 21, 2022",Rated 1 out of 5 stars
206,Shocking customer service,"Shocking customer service. Visited Stockport branch this evening, ordered 3 meals, two of which were Lasagne, one Spaghetti Bolognese. I went to the ladies and on my return 2 of the meals had come to the table. I sat waiting for mine to come, after so long I started to question why the long wait? Why hadn't they all been brought at the same time. I got the attention of the waitress who just said ""oh, we have run out of Lasagne. I was really put out that no one had bothered to tell us this and just left us sat there with two meals. I was asked did I want something else only when I asked where my meal was. I asked for a Manager whose explanation was too many orders had come in at the same time. I was offered something else on the house but the other two meals were nearly eaten and as we were going to the cinema, there wasn't tome for another wait. I was most angry about the fact we were just sat left there with no meal. Will not be going there again.","Jun 20, 2022",Rated 1 out of 5 stars
207,I’m afraid to say the Zizzi experience…,I’m afraid to say the Zizzi experience is no longer an experience. The venue looks like a rustic cafe at best and the quality of food is incredibly poor. This used to be a really great place to eat but we will never eat at Zizzi again after this. The serving staff were really nice but I get the impression the cooks didn’t really care and couldn’t cook a good pizza if their lives depended on it. Sad times Zizzi and I fear for your future in the UK. Sort it or go bust. Simple as!!,"Jun 19, 2022",Rated 1 out of 5 stars
208,"Thanks Val, Dinner at Bluewater Zizzi on Saturday…","Dinner at Bluewater Zizzi on Saturday evening 11th June, had our favourites but Val at front of house made the experience even better. She has a great personality and had fabulous ‘old school’ service with a smile. A real asset for Zizzi Bluewater.  Thanks Val.  Sue and Darren","Jun 17, 2022",Rated 5 out of 5 stars
209,Visited Zizzi is sheffield leopald…,"Visited Zizzi is sheffield leopald Square food,service was excellent,lovely location and staff couldn't do enough for us.","Jun 17, 2022",Rated 4 out of 5 stars
210,Zizi trafford center,Visited zizi trafford centerWoman on front of house was extreemly rude.She went to ask if we had any allergies boyfriend went to say he doesn't have allergies but intolerances and she went ill pretend i didnt hear that. Sat down and she went someone will be with you when theyve got time.Waited for a further 30 minuites and no one had even taken a drinks order at this point we left and went else where,"Jun 14, 2022",Rated 1 out of 5 stars
211,Zizzi's Belfast - Fabulous Service with a smile,"Zizzi’s has been our ‘glimpse of normality’ during Covid. Staff have worked so hard to make every visit a positive experience- despite restrictions- always smiling, showing genuine interest in customers even though they are very busy and of course  - Superb Food!! Best Pizzas in Belfast!Special mention for Wayne.  His genuine welcome, attention to detail is meticulous, as well the sheer pace at which he works, is a great attribute for Zizzi !!Great to see the place buzzing again on a Monday lunchtime.Thanks to all the Belfast team!","Jun 13, 2022",Rated 5 out of 5 stars
212,After eaten at a few Zizzi’s very…,After eaten at a few Zizzi’s very disappointed had to send meal back as was burnt and over cooked. No apology from staff or any communication on how long a replacement would take.  Very disappointing experience.,"Jun 11, 2022",Rated 2 out of 5 stars
213,Had a voucher for a 4 course meal for…,Had a voucher for a 4 course meal for 2. They didn't honour it and replaced with a 59 quid discount. Whereas i had a voucher for prezzo which they did honour perfectly. Zizzi has acted in a dishonorable way and no reason given. Won't be seeing me again,"Jun 11, 2022",Rated 1 out of 5 stars
214,When me and my boyfriend went to Zizzi…,When me and my boyfriend went to Zizzi Westfield the service was good. The manager pietrro was so nice very attentive kind took our order and I told him about my peanut allergy he was very understanding about it and let me have a margherita pizza with mushrooms on! I defo be going back again and pietrro was so nice and very welcoming. A lovely manager in Zizzi Westfield.,"Jun 7, 2022",Rated 5 out of 5 stars
215,Fab Staff,We came to the Restaurant after having been given a voucher. Staff were so friendly and helpful (especially  Geri) and we really enjoyed our meal. I had pasta and my other half had the lasagne. Both were delicious and the portions good. Would definitely return.,"Jun 3, 2022",Rated 5 out of 5 stars
216,"GREAT STAFF, GREAT FOOD - ZIZZI BRACKNELL","GREAT STAFF, GREAT FOODIve had a lovely SELF TIME meal at ZIZZI BRACKNELL. SARVESH has accommodated me well when i first came in the restaurant. ZIZZI fried calamares are just 10/10 !!! texture, moist, seasoning, it just tastes so good !! This is my main reason i always choose ZIZZI for italian dish at a high street, their calamari and their pizzas are my favourites !! Also, ANNE-MARIA and her other colleague, are just so helpful all the time, as they made sure that ive got everything at the table, and therefore I made this review to highlight their service, very friendly and very accommodating team !! ZIZZI never let me down yet, except for 1 thing... PLEASE KINDLY ADD TABASCO BOTTLE SAUCE, as it actually goes perfect with your PIZZAS =)","Jun 2, 2022",Rated 5 out of 5 stars
217,Zizzi Dorchester- a great customer service experience,"Our family of 3 dined at Zizzi Dorchester on 30/5/22. The food was spectacular, as was the service. Special thanks to Natasha P for really going the extra mile and for really making our visit worthwhile. Thank you so much for your kindness Natasha! We will definitely be back very soon.","Jun 1, 2022",Rated 5 out of 5 stars
218,I have tried phoning to make a booking…,I have tried phoning to make a booking at the Hereford Ziizi.  A recorded message said I couldn't get through and to leave a message.  I did and have had no answer to two phone calls so we have booked somewhere else.,"May 29, 2022",Rated 1 out of 5 stars
219,Noisy atmosphere,"I used to like Zizzi -- the vegan menu, the nice atmosphere and so on.But they've gone downhill lately -- like today (a Sunday), we went into a local branch (Tower Hill) and requested a quiet table. Then, 5 minutes after our food arrived a party of about 15+ people turned up, were placed right next to us and we had to endure a horde of noisy children and over excited parents.That's not the first time we've had to walk out of Zizzi due to the noise -- last time was at St. Katharine Docks, where a team of drunken women were screeching so loudly over their wine that we couldn't hear ourselves speak.Our only option was to get everything in a box so we could leave.The food is OK, but if you like quiet restaurants, this will not be for you.","May 29, 2022",
